family,best_y_pred,best_id,best_smiles,count,feedback_hits
CFNS,-4409.5347,libe-501928,C.F.N.S,7,7
CNOS,-4185.25,libe-501998,C.N.O.S,3,3
CFS,-4004.7795,libe-497494,C.F.S,1,0
CFNOS,-3849.5896,libe-501983,C.F.N.O.S,38,10
CFOS,-3688.1812,libe-497499,C.F.O.S,5,0
COSLiH,-3566.4248,libe-502690,C.O.S.[LiH],3,0
CFNOSLiH,-3452.4111,libe-501598,C.F.N.O.S.[LiH],54,0
CFOSLiH,-3420.6177,libe-502113,C.F.O.S.[LiH],24,0
CNOSLiH,-3322.472,libe-501862,C.N.O.S.[LiH],13,0
COP,-2989.5896,libe-529149,C.O.P,13,0
CFOP,-2903.3823,libe-518891,C.F.O.P,38,0
CFOPLiH,-2648.797,libe-510541,C.F.O.P.[LiH],6,0
COPLiH,-2583.7478,libe-516810,C.O.P.[LiH],3,0
COPHH,-2137.5872,libe-526813,C.O.P.[HH],109,0
CFOPHHLiH,-1979.7343,libe-511246,C.F.O.P.[HH].[LiH],169,0
CFOPHH,-1921.1106,libe-522704,C.F.O.P.[HH],604,0
COPHHLiH,-1835.202,libe-518936,C.O.P.[HH].[LiH],30,0
CFO,-1704.7366,libe-136072,C.F.O,11,0
CFOLiH,-1473.9154,libe-135967,C.F.O.[LiH],87,0
CO,-1405.4862,libe-536383,C.O,19,0
COLiH,-1287.5383,libe-658801,C.O.[LiH],119,0
CFOHHLiH,-1135.8605,libe-138182,C.F.O.[HH].[LiH],902,0
CFOHH,-1103.599,libe-137146,C.F.O.[HH],342,0
COHHLiH,-883.2513,libe-631911,C.O.[HH].[LiH],1935,0
CFHHLiH,-846.1416,libe-224963,C.F.[HH].[LiH],15,0
CFHH,-838.1504,libe-640187,C.F.[HH],18,0
COHH,-834.2941,libe-658698,C.O.[HH],895,0
CHH,-527.0806,libe-117154,C.[HH],81,0
CHHLiH,-391.80768,libe-115811,C.[HH].[LiH],5,0
